flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
3,6,19633,61479,0,0,1
3,6,19633,61479,0,0,1
2,6,19633,61479,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
0,6,55959,15492,0,0,1
0,6,55959,15492,0,0,1
9,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,33495,475,0,0,1
6,6,33495,475,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
2,6,19633,61479,0,0,1
2,6,19633,61479,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
9,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,33495,475,0,0,1
6,6,33495,475,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,51846,37371,0,0,1
6,6,51846,37371,0,0,1
5,6,58988,22231,0,0,1
5,6,58988,22231,0,0,1
5,6,14440,61551,0,0,1
5,6,14440,61551,0,0,1
5,6,17796,44163,0,0,1
5,6,17796,44163,0,0,1
5,6,10983,50671,0,0,1
5,6,10983,50671,0,0,1
5,6,62711,47575,0,0,1
5,6,62711,47575,0,0,1
4,6,22959,25559,0,0,1
4,6,22959,25559,0,0,1
4,6,28246,11743,0,0,1
4,6,28246,11743,0,0,1
4,6,3288,22838,0,0,1
4,6,3288,22838,0,0,1
4,6,62044,54220,0,0,1
4,6,62044,54220,0,0,1
4,6,14293,9184,0,0,1
4,6,14293,9184,0,0,1
3,6,16205,59319,0,0,1
3,6,16205,59319,0,0,1
3,6,19615,27245,0,0,1
3,6,19615,27245,0,0,1
3,6,19590,34721,0,0,1
3,6,19590,34721,0,0,1
3,6,35419,31564,0,0,1
3,6,35419,31564,0,0,1
2,6,19633,61479,0,0,1
2,6,19633,61479,0,0,1
2,6,18446,35713,0,0,1
2,6,18446,35713,0,0,1
2,6,46868,17940,0,0,1
2,6,46868,17940,0,0,1
2,6,4587,26835,0,0,1
2,6,4587,26835,0,0,1
2,6,31933,2915,0,0,1
2,6,31933,2915,0,0,1
1,6,1353,26198,0,0,1
1,6,1353,26198,0,0,1
1,6,54523,10060,0,0,1
1,6,54523,10060,0,0,1
1,6,32751,31234,0,0,1
1,6,32751,31234,0,0,1
1,6,25419,39968,0,0,1
1,6,25419,39968,0,0,1
1,6,29531,44131,0,0,1
1,6,29531,44131,0,0,1
0,6,43257,24150,0,0,1
0,6,43257,24150,0,0,1
0,6,43126,23636,0,0,1
0,6,43126,23636,0,0,1
0,6,51012,22704,0,0,1
0,6,51012,22704,0,0,1
0,6,11811,58622,0,0,1
0,6,11811,58622,0,0,1
9,6,12670,19048,0,0,1
9,6,12670,19048,0,0,1
9,6,37363,16835,0,0,1
9,6,37363,16835,0,0,1
9,6,22068,15470,0,0,1
9,6,22068,15470,0,0,1
9,6,36080,8800,0,0,1
9,6,36080,8800,0,0,1
